sep=\t
Module Resource Usage Distribution Estimates
Generated at: Apr 22, 2026 23:51:20

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	          FFs	      SRLs	       ADDs	         LUTs	    COMB4s	      RAMs	 DSP/MULTs
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=9)	        0(0)	     0(0)	      0(0)	        8(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=8)	        0(0)	     0(0)	      0(0)	        7(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=7)	        0(0)	     0(0)	      0(0)	        6(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=6)	        0(0)	     0(0)	      0(0)	        5(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c	        0(0)	     0(0)	      0(0)	        4(1)	     0(0)	     0(0)	     0(0)	
                 +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=4)	        0(0)	     0(0)	      0(0)	        3(1)	     0(0)	     0(0)	     0(0)	
                  +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=3)	        0(0)	     0(0)	      0(0)	        2(1)	     0(0)	     0(0)	     0(0)	
                   +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=2)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
     +video_iface_inst:efx_dsi_video_iface_956638cde8974b6a8ef3392f4793002c(HS_DATA_WIDTH=8,PACKET_SEQUENCES=1)	    173(112)	     0(0)	  141(112)	     107(83)	     0(0)	     6(0)	     0(0)	
      +asyncreg_1:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +asyncreg_2:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=2)	        4(4)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +asyncreg_3:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=6)	      12(12)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +delay_sync_inst:efx_dsi_delay_sync_956638cde8974b6a8ef3392f4793002c	       43(9)	     0(0)	     29(0)	       24(9)	     0(0)	     6(0)	     0(0)	
       +delaysyncfifo:efx_fifo_top_956638cde8974b6a8ef3392f4793002c(FAMILY="TITANIUM",SYNC_CLK=1,DEPTH=16384,DATA_WIDTH=4,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=128,PROG_FULL_NEGATE=127,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=2,PROG_EMPTY_NEGATE=3,ENDIANESS=1)	       34(0)	     0(0)	     29(0)	       15(0)	     0(0)	     6(0)	     0(0)	
        +genblk2.efx_resetsync_a_rst:efx_resetsync_956638cde8974b6a8ef3392f4793002c(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
         +active_high.efx_resetsync_active_high:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +xefx_fifo_ram:efx_fifo_ram_956638cde8974b6a8ef3392f4793002c(FAMILY="TITANIUM",WR_DEPTH=16384,RD_DEPTH=16384,WDATA_WIDTH=4,RDATA_WIDTH=4,WADDR_WIDTH=14,RADDR_WIDTH=14,OUTPUT_REG=0,RAM_MUX_RATIO=1,ENDIANESS=1)	        1(1)	     0(0)	      0(0)	        4(4)	     0(0)	     6(6)	     0(0)	
        +xefx_fifo_ctl:efx_fifo_ctl_956638cde8974b6a8ef3392f4793002c(WR_DEPTH=16384,WADDR_WIDTH=14,RADDR_WIDTH=14,ALMOST_FLAG=0,PROG_FULL_ASSERT=128,PROG_FULL_NEGATE=127,PROG_EMPTY_ASSERT=2,PROG_EMPTY_NEGATE=3,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	      31(31)	     0(0)	    29(29)	      11(11)	     0(0)	     0(0)	     0(0)	
     +genblk6.packetizer_inst:efx_dsi_64b_packetizer_4lane_956638cde8974b6a8ef3392f4793002c(ENABLE_EOTP=1'b0,HS_LANE_FIFO_DEPTH=512)	    363(204)	     0(0)	   117(98)	  1685(1355)	     0(0)	     2(0)	     0(0)	
      +crc16_d32_gen_inst:efx_dsi_crc16_d32_gen_956638cde8974b6a8ef3392f4793002c	      55(55)	     0(0)	      0(0)	    278(278)	     0(0)	     0(0)	     0(0)	
      +fifo_inst:efx_fifo_top_956638cde8974b6a8ef3392f4793002c(MODE="FWFT",DATA_WIDTH=36,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE       ",PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=0)	      104(0)	     0(0)	     19(0)	       52(0)	     0(0)	     2(0)	     0(0)	
       +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_956638cde8974b6a8ef3392f4793002c(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_956638cde8974b6a8ef3392f4793002c(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_956638cde8974b6a8ef3392f4793002c(WDATA_WIDTH=36,RDATA_WIDTH=36,OUTPUT_REG=0,RAM_MUX_RATIO=1)	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     2(2)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_956638cde8974b6a8ef3392f4793002c(SYNC_CLK=0,MODE="FWFT",ALMOST_FLAG=0,PROGRAMMABLE_FULL="NONE       ",PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	     100(60)	     0(0)	    19(19)	      52(16)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_956638cde8974b6a8ef3392f4793002c(WIDTH=10)	        0(0)	     0(0)	      0(0)	        9(9)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_addr_sync:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=10,ACTIVE_LOW=0,OFF_ASSERTION=1)	      20(20)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=10)	        0(0)	     0(0)	      0(0)	        9(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=9)	        0(0)	     0(0)	      0(0)	        8(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=8)	        0(0)	     0(0)	      0(0)	        7(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=7)	        0(0)	     0(0)	      0(0)	        6(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=6)	        0(0)	     0(0)	      0(0)	        5(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c	        0(0)	     0(0)	      0(0)	        4(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=4)	        0(0)	     0(0)	      0(0)	        3(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=3)	        0(0)	     0(0)	      0(0)	        2(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=2)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_956638cde8974b6a8ef3392f4793002c(WIDTH=10)	        0(0)	     0(0)	      0(0)	        9(9)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_addr_sync:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=10,ACTIVE_LOW=0,OFF_ASSERTION=1)	      20(20)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=10)	        0(0)	     0(0)	      0(0)	        9(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=9)	        0(0)	     0(0)	      0(0)	        8(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=8)	        0(0)	     0(0)	      0(0)	        7(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=7)	        0(0)	     0(0)	      0(0)	        6(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=6)	        0(0)	     0(0)	      0(0)	        5(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c	        0(0)	     0(0)	      0(0)	        4(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=4)	        0(0)	     0(0)	      0(0)	        3(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=3)	        0(0)	     0(0)	      0(0)	        2(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=2)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
 +dsi_tx_top_inst1:dsi_tx_top(HSP=8'b0100,VSP=6'b010,VBP=6'b010100,VFP=6'b010100)	    2125(53)	     0(0)	   568(51)	    3665(28)	     0(0)	    48(0)	     0(0)	
  +inst_panel_config:panel_config(INITIAL_CODE="/src/mipi_dsi/Panel_1080p_reg.mem",REG_DEPTH=9'b010010110)	      96(96)	     0(0)	    21(21)	    171(171)	     0(0)	     4(0)	     0(0)	
   +inst_piv2_reg:true_dual_port_ram(DATA_WIDTH=40,WRITE_MODE_1="WRITE_FIRST",WRITE_MODE_2="WRITE_FIRST",OUTPUT_REG_1="TRUE",OUTPUT_REG_2="TRUE",RAM_INIT_FILE="/src/mipi_dsi/Panel_1080p_reg.mem")	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     4(4)	     0(0)	
  +inst_efx_dsi_tx:dsi_tx                                   	     1976(0)	     0(0)	    496(0)	     3466(0)	     0(0)	    44(0)	     0(0)	
   +u_efx_dsi_tx:efx_dsi_tx_956638cde8974b6a8ef3392f4793002c_renamed_due_excessive_length_1	     1976(0)	     0(0)	    496(0)	     3466(0)	     0(0)	    44(0)	     0(0)	
    +dphy_bidir_tx_inst:efx_dphy_bidir_tx_956638cde8974b6a8ef3392f4793002c(tLPX_NS=60,tCLK_ZERO_NS=280,tCLK_TRAIL_NS=100,tCLK_POST_NS=100,tCLK_PREPARE_NS=50,tHS_PREPARE_NS=50,tHS_EXIT_NS=120,tHS_ZERO_NS=200,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125,ENABLE_BIDIR=1'b1)	      340(1)	     0(0)	    131(0)	      912(8)	     0(0)	     0(0)	     0(0)	
     +enter_hs_xfer_1:efx_asyncreg_956638cde8974b6a8ef3392f4793002c	        8(8)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +enter_hs_xfer_2:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +tx_clane_fsm_inst:dphy_tx_clane_fsm_956638cde8974b6a8ef3392f4793002c(tLPX_NS=60,tCLK_ZERO_NS=280,tCLK_TRAIL_NS=100,tCLK_POST_NS=100,tCLK_PREPARE_NS=50,tHS_EXIT_NS=120,HS_BYTECLK_MHZ=125)	      39(22)	     0(0)	     18(9)	      71(34)	     0(0)	     0(0)	     0(0)	
      +tx_hs_c_fsm_inst:dphy_tx_hs_c_fsm_956638cde8974b6a8ef3392f4793002c(tCLK_ZERO_NS=280,tCLK_TRAIL_NS=100,tCLK_POST_NS=100,HS_BYTECLK_MHZ=125)	      17(17)	     0(0)	      9(9)	      37(37)	     0(0)	     0(0)	     0(0)	
     +genblk2.bidir_tx_dlane_fsm_inst:dphy_bidir_tx_dlane_fsm_956638cde8974b6a8ef3392f4793002c(tLPX_NS=60,tHS_PREPARE_NS=50,tHS_EXIT_NS=120,tHS_ZERO_NS=200,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      93(69)	     0(0)	    38(29)	    277(226)	     0(0)	     0(0)	     0(0)	
      +tx_hs_d_fsm_inst:dphy_tx_hs_d_fsm_956638cde8974b6a8ef3392f4793002c(tHS_ZERO_NS=200,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      24(24)	     0(0)	      9(9)	      51(51)	     0(0)	     0(0)	     0(0)	
     +genblk2.bidir_rx_dlane_fsm_inst:dphy_bidir_rx_dlane_fsm_956638cde8974b6a8ef3392f4793002c(tLPX_NS=60,HS_BYTECLK_MHZ=125)	      36(36)	     0(0)	    12(12)	    132(132)	     0(0)	     0(0)	     0(0)	
     +genblk2.genblk1[1].tx_dlane_fsm_inst:dphy_tx_dlane_fsm_956638cde8974b6a8ef3392f4793002c(tLPX_NS=60,tHS_PREPARE_NS=50,tHS_EXIT_NS=120,tHS_ZERO_NS=200,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      53(29)	     0(0)	    21(12)	     139(91)	     0(0)	     0(0)	     0(0)	
      +tx_hs_d_fsm_inst:dphy_tx_hs_d_fsm_956638cde8974b6a8ef3392f4793002c(tHS_ZERO_NS=200,tHS_EXIT_NS=120,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      24(24)	     0(0)	      9(9)	      48(48)	     0(0)	     0(0)	     0(0)	
     +genblk2.genblk1[2].tx_dlane_fsm_inst:dphy_tx_dlane_fsm_956638cde8974b6a8ef3392f4793002c(tLPX_NS=60,tHS_PREPARE_NS=50,tHS_EXIT_NS=120,tHS_ZERO_NS=200,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      53(29)	     0(0)	    21(12)	     145(91)	     0(0)	     0(0)	     0(0)	
      +tx_hs_d_fsm_inst:dphy_tx_hs_d_fsm_956638cde8974b6a8ef3392f4793002c(tHS_ZERO_NS=200,tHS_EXIT_NS=120,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      24(24)	     0(0)	      9(9)	      54(54)	     0(0)	     0(0)	     0(0)	
     +genblk2.genblk1[3].tx_dlane_fsm_inst:dphy_tx_dlane_fsm_956638cde8974b6a8ef3392f4793002c(tLPX_NS=60,tHS_PREPARE_NS=50,tHS_EXIT_NS=120,tHS_ZERO_NS=200,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      55(31)	     0(0)	    21(12)	     140(92)	     0(0)	     0(0)	     0(0)	
      +tx_hs_d_fsm_inst:dphy_tx_hs_d_fsm_956638cde8974b6a8ef3392f4793002c(tHS_ZERO_NS=200,tHS_EXIT_NS=120,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      24(24)	     0(0)	      9(9)	      48(48)	     0(0)	     0(0)	     0(0)	
    +efx_dsi_tx_top_inst:efx_dsi_tx_top_956638cde8974b6a8ef3392f4793002c(tINIT_NS=100000,ENABLE_INIT_SKEWCAL=0,ENABLE_EOTP=1'b0,HS_BYTECLK_MHZ=125,PACK_TYPE=1,ENABLE_V_LPM_BTA=1'b1,HS_CMD_WDATAFIFO_DEPTH=512,LP_CMD_WDATAFIFO_DEPTH=512,LP_CMD_RDATAFIFO_DEPTH=2048,HS_DATA_WIDTH=8,MAX_HRES=1920,PIXEL_FIFO_DEPTH=4096)	    1636(35)	     0(0)	   365(17)	    2554(30)	     0(0)	    44(0)	     0(0)	
     +asyncreg_0:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +asyncreg_1:efx_asyncreg_956638cde8974b6a8ef3392f4793002c	        8(8)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +asyncreg_2:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_4:efx_asyncreg_956638cde8974b6a8ef3392f4793002c	        8(8)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +tx_csr_inst:efx_dsi_tx_csr_956638cde8974b6a8ef3392f4793002c(HS_DATA_WIDTH=8,ENABLE_V_LPM_BTA=1'b1)	    756(202)	     0(0)	     65(0)	     489(99)	     0(0)	     4(0)	     0(0)	
      +asyncreg_0_0:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +asyncreg_0_1:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +asyncreg_0_2:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +asyncreg_0_3:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +asyncreg_0_4:efx_asyncreg_956638cde8974b6a8ef3392f4793002c	        8(8)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +asyncreg_0_5:efx_asyncreg_956638cde8974b6a8ef3392f4793002c	        8(8)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +asyncreg_0_6:efx_asyncreg_956638cde8974b6a8ef3392f4793002c	        8(8)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +asyncreg_0_7:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +asyncreg_7:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +asyncreg_8:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +asyncreg_9:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=32)	      32(32)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +asyncreg_11:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=32)	      32(32)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +asyncreg_12:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=32)	      32(32)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +asyncreg_13:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=8)	      16(16)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +asyncreg_14:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=8)	      16(16)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +asyncreg_15:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=8)	      16(16)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +asyncreg_16:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=16)	      32(32)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +asyncreg_17:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +asyncreg_18:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +asyncreg_21:efx_asyncreg_956638cde8974b6a8ef3392f4793002c	        8(8)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_25:efx_asyncreg_956638cde8974b6a8ef3392f4793002c	        8(8)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_30:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +cmd_driver_inst:efx_dsi_cmd_driver_956638cde8974b6a8ef3392f4793002c(ENABLE_V_LPM_BTA=1'b1)	     110(81)	     0(0)	    27(27)	    288(256)	     0(0)	     0(0)	     0(0)	
       +asyncreg_1:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +asyncreg_2:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +cmd_crc16_d8_gen_inst:efx_dsi_crc16_d8_gen_956638cde8974b6a8ef3392f4793002c	      25(25)	     0(0)	      0(0)	      32(32)	     0(0)	     0(0)	     0(0)	
      +lp_dcs_wfifo_inst:efx_fifo_top_956638cde8974b6a8ef3392f4793002c(MODE="FWFT",OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=0)	      104(0)	     0(0)	     19(0)	       51(0)	     0(0)	     2(0)	     0(0)	
       +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_956638cde8974b6a8ef3392f4793002c(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_956638cde8974b6a8ef3392f4793002c(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_956638cde8974b6a8ef3392f4793002c(WDATA_WIDTH=32,RDATA_WIDTH=32,OUTPUT_REG=0,RAM_MUX_RATIO=1)	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     2(2)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_956638cde8974b6a8ef3392f4793002c(SYNC_CLK=0,MODE="FWFT",ALMOST_FLAG=0,PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	     100(60)	     0(0)	    19(19)	      51(15)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_956638cde8974b6a8ef3392f4793002c(WIDTH=10)	        0(0)	     0(0)	      0(0)	        9(9)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_addr_sync:efx_asyncreg_956638cde8974b6a8ef3392f4793002c(WIDTH=10,ACTIVE_LOW=0,OFF_ASSERTION=1)	      20(20)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=10)	        0(0)	     0(0)	      0(0)	        9(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=9)	        0(0)	     0(0)	      0(0)	        8(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=8)	        0(0)	     0(0)	      0(0)	        7(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=7)	        0(0)	     0(0)	      0(0)	        6(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c(WIDTH=6)	        0(0)	     0(0)	      0(0)	        5(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_956638cde8974b6a8ef3392f4793002c	        0(0)	     0(0)	      0(0)	        4(1)	     0(0)	     0(0)	     0(0)	
